Date,MSCI.World,MSCI.EmergingMarkets,SP500,US10Y,DE10Y,SP.InvestmentGrade,SP.HighYield,MSCI.World.RealEstate,MSCI.US.RealEstate
1/2/2001,-0.015926448,0.001219516,-0.02777986,-0.000232872,0.00084246,0.002498747,-0.001061851,0.000373314,0.001027983
1/3/2001,0.02098698,0.006402559,0.050009807,0.013952413,0.008441912,0.009337747,0.003277084,-0.001375298,0.004814978
1/4/2001,-0.000124799,0.03485449,-0.009399051,-0.014633925,0.00147518,-0.009080169,0.000773939,-0.006533036,-0.001073415
1/5/2001,-0.013351413,0.00416756,-0.026571823,0.007278674,-0.001030228,0.009926627,0.005588985,0.023842247,0.006290349
1/8/2001,-0.002596461,-0.001395636,-0.001849047,0.005643606,0.002628106,0.00668893,0.005723654,0.014467415,0.00402863
1/9/2001,-0.005941625,0.010908926,0.004030645,0.002076059,-0.000827948,0.00381724,0.003481193,-0.000783144,0.003218814
1/10/2001,0.000931302,-0.006937084,0.010159051,-0.003577887,-0.003302455,-0.002827206,0.005451956,-0.013789028,-0.002158279
1/11/2001,0.009362453,0.00233583,0.010669709,-0.007576938,-0.002638213,-0.006567911,0.004639813,-0.009922438,-0.002738663
1/12/2001,-0.001934705,0.008966225,-0.007139857,-0.002944729,0.002862804,-0.001258107,0.003546519,-0.019511643,0.00677902
1/15/2001,-0.000216234,0.004391243,-0.000415416,-0.007597499,-0.004842621,-0.006526605,0.002696164,0.004489785,-0.018149517
1/16/2001,0.001791378,0.004180721,0.006711499,0.000186423,0.00129782,0.000945049,0.000986718,-0.006089269,-0.000694573
1/17/2001,0.006710776,0.010815321,0.002212999,-0.000186847,-0.002755279,0.001475164,0.00127296,0.004252121,-0.008772103
1/18/2001,0.012223761,0.01402175,0.013490537,0.004756957,0.002810772,0.004662574,0.002376066,0.001524957,0.00419654
1/19/2001,-0.003393337,0.015452293,-0.003740015,0.006047321,0.000567724,0.005908086,0.004244434,0.009169945,0.010109441
1/22/2001,0.000892943,-0.0010619,0.000471078,-0.005735226,-0.002134254,-0.003117816,0.003301975,0.003391961,-0.005711644
1/23/2001,0.007220657,0.005578832,0.012640916,-0.003564548,-0.001613816,-0.001592281,0.000682811,0.001717553,-0.003321747
1/24/2001,-0.001729794,-0.000797261,0.003095197,-0.003327359,0.0010218,-0.002841441,0.001306672,-0.004905464,0.014711252
1/25/2001,-0.002322744,0.000780345,-0.005310977,-0.00169577,-0.002724781,0.001319533,0.002142831,-0.00243799,-0.004024326
1/26/2001,-0.002118401,-0.004213673,-0.001933711,0.002174565,0.000714445,0.005438036,0.001479223,0.003626051,-0.003481742
1/29/2001,0.004247405,-0.002739127,0.00725206,0.000261814,0.003449412,-5.04483E-06,0.001009852,0.000415641,0.007199886
1/30/2001,0.006046387,0.009134209,0.007088033,-0.002727689,-3.96906E-05,-0.001909661,-0.000468972,0.001072763,0.003838783
1/31/2001,0.000552967,0.015526526,-0.004425384,0.005694886,0.002712905,0.005014569,0.001400666,-0.004481136,0.005406752
2/1/2001,0.004687416,-0.003614678,0.004820737,0.005067996,0.00200171,0.005833545,0.003449217,0.01008825,0.007589584
2/2/2001,-0.015568292,-0.002782145,-0.018124028,0.006101819,0.000285202,0.006500211,0.002559588,0.006428132,0.0065244
2/5/2001,0.001725644,-0.016560244,0.003127501,-0.005523805,-0.000523746,-0.005018155,0.00173346,-0.008084188,-0.001832973
2/6/2001,-0.001381294,0.003607968,-0.001462569,1.44514E-05,0.002403696,-0.002010806,0.001206293,-0.005561642,0.006676779
2/7/2001,-0.008991662,-0.016155321,-0.008287607,-0.004551826,-0.001198699,-0.003824575,0.000995808,0.002293122,-0.005624731
2/8/2001,-0.008812056,0.006238427,-0.006363785,0.001101105,0.002533269,0.001567557,0.002046937,-0.000236141,-0.008931775
2/9/2001,-0.011042659,0.001392308,-0.012711627,-0.000873402,-0.00235216,-0.000768648,0.000560873,-0.008784068,-0.01237847
2/12/2001,0.010322156,0.001011449,0.012144773,0.005411467,0.002022516,0.005023005,0.001117728,-0.002395952,0.004417958
2/13/2001,-0.007995506,0.005049968,-0.008499119,-0.002773291,0.000526651,-0.002473761,0.000955351,0.001365317,0.006068641
2/14/2001,-0.006480919,-0.003445751,-0.001053917,-0.000530318,0.001379472,-0.002089392,-0.000307232,0.011816986,-0.004165809
2/15/2001,0.00418851,0.009421354,0.007884473,-0.003873683,-0.00186842,-0.002034802,0.000157516,-3.12094E-05,-0.001083264
2/16/2001,-0.013244285,-0.008636455,-0.020056133,-0.003933992,-0.004177497,-0.003647169,0.001483833,-0.003078421,-0.005434604
2/19/2001,-0.000192557,-0.008024039,-2.91173E-05,0.006832153,0.002453793,0.00481238,0.000801302,-0.006660251,0.00920243
